2024-03-07T00:03:59.236+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21.0.1 with PID 25592 (/home/ivan/Wendys-Tournament-Management/backend/target/classes started by ivan in /home/ivan/Wendys-Tournament-Management/backend)
2024-03-07T00:03:59.250+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-03-07T00:13:21.733+01:00 r=919ec83dbc38 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=3ms
2024-03-07T00:13:56.079+01:00 r=37d703904314 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:13:56.081+01:00 r=37d703904314 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:13:56.084+01:00 r=37d703904314 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=4ms
2024-03-07T00:14:18.946+01:00 r=0ca835f3e1ed ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:14:18.948+01:00 r=0ca835f3e1ed ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:14:18.951+01:00 r=0ca835f3e1ed ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=4ms
2024-03-07T00:24:24.970+01:00 r=50019dcf57b9 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:24:24.972+01:00 r=50019dcf57b9 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:24:24.975+01:00 r=50019dcf57b9 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=4ms
2024-03-07T00:24:25.664+01:00 r=791b72c8d973 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:24:25.667+01:00 r=791b72c8d973 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:24:25.673+01:00 r=791b72c8d973 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=8ms
